總集數 ,集數 ,中文集名 ,英文原名 ,導演 ,編劇 ,首播日期
1,1,試播 ,The Pilot ,James Burrows ,David Crane 和 Marta Kauffman ,1994年9月22日
2,2,卡羅要做超音波檢查 ,The One with the Sonogram at the End ,James Burrows ,David Crane 和 Marta Kauffman ,1994年9月29日
3,3,大拇指事件 ,The One with the Thumb ,James Burrows ,Jeff Astrof 和 Mike Sikowitz ,1994年10月6日
4,4,偷窺事件 ,The One with George Stephanopoulos ,James Burrows ,Alexa Junge ,1994年10月13日
5,5,瑞秋去洗衣 ,The One with the East German Laundry Detergent ,Pamela Fryman ,Jeff Greenstein 和 Jeff Strauss ,1994年10月20日
6,6,喬伊出鏡了 ,The One with the Butt ,Arlene Sanford ,Adam Chase 和 Ira Ungerleider ,1994年10月27日
7,7,紐約大停電 ,The One with the Blackout ,James Burrows ,Jeff Astrof 和 Mike Sikowitz ,1994年11月3日
8,8,外婆死了兩次 ,The One Where Nana Dies Twice ,James Burrows ,Marta Kauffman 和 David Crane ,1994年11月10日
9,9,感恩節大餐搞砸了 ,The One Where Underdog Gets Away ,James Burrows ,Jeff Greenstein 和 Jeff Strauss ,1994年11月17日
10,10,羅斯弄了隻猴子 ,The One with the Monkey ,Peter Bonerz ,Adam Chase 和 Ira Ungerleider ,1994年12月15日
11,11,媽媽進城來 ,The One with Mrs. Bing ,James Burrows ,Alexa Junge ,1995年1月5日
12,12,一堆千層面 ,The One with the Dozen Lasagnas ,Paul Lazarus ,Jeff Astrof、Mike Sikowitz、Adam Chase,1995年1月12日
13,13,瑞秋走光啦 ,The One with the Boobies ,Alan Myerson ,Alexa Junge ,1995年1月19日
14,14,珍妮斯又回來了 ,The One with the Candy Hearts ,James Burrows ,Bill Lawrence ,1995年2月9日
15,15,抽大麻的人 ,The One with the Stoned Guy ,Alan Myerson ,Jeff Greenstein & Jeff Strauss ,1995年2月16日
16,16,喬伊迷上了烏蘇拉：上 ,The One with Two Parts 1 ,Michael Lembeck ,Marta Kauffman 和 David Crane ,1995年2月23日
17,17,喬伊迷上了烏蘇拉：下 ,The One with Two Parts 2 ,Michael Lembeck ,David Crane 和 Marta Kauffman ,1995年2月23日
18,18,打撲克 ,The One with All the Poker ,James Burrows ,Jeff Astrof 和 Mike Sikowitz ,1995年3月2日
19,19,猴子跑了 ,The One Where the Monkey Gets Away ,Peter Bonerz ,Jeff Astrof 和 Mike Sikowitz ,1995年3月9日
20,20,邪惡牙醫 ,The One with the Evil Orthodontist ,Peter Bonerz ,Doty Abrams ,1995年4月6日
21,21,假莫妮卡 ,The One with the Fake Monica ,Gail Mancuso ,Adam Chase 和 Ira Ungerleider ,1995年4月27日
22,22,莫妮卡的小男友 ,The One with the Ick Factor ,Robby Benson ,Alexa Junge ,1995年5月4日
23,23,卡羅生小孩 ,The One with the Birth ,James Burrows,"故事: David Crane & Marta Kauffman
電視劇本: Jeff Greenstein & Jeff Strauss ",1995年5月11日
24,24,瑞秋知道了 ,The One Where Rachel Finds Out ,Kevin S. Bright ,Chris Brown ,1995年5月18日
25,1,羅斯的新女友 ,The One with Ross's New Girlfriend ,Michael Lembeck ,Jeff Astrof 和 Mike Sikowitz ,1995年9月21日
